Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
TUBB2B,67415.22693,23982.15945,47934.79572,60244.62794,11959.33572,11236.23286
KIF5C,65738.30187,12146.60784,48713.05785,63654.22943,5590.797524,2974.451907
UBA1,65653.22426,40815.42095,53795.78976,57558.27745,39604.64369,43995.85511
APLP1,65165.15201,11610.13955,36376.33917,53606.16271,6358.003344,651.2642849
DCTN1,64693.87196,18843.07955,44781.4289,58789.03242,11376.81581,9836.064363
MAP2,64592.02335,15996.96486,62265.1775,73187.75196,15505.74194,480.6283914
CNTN2,63855.40066,10196.12238,111213.1866,99520.73275,2518.111383,344.3076057
SCD,63741.35956,100025.2012,74078.25659,71300.75104,118687.0744,82941.23305
GAP43,63476.38581,9223.02832,41169.31029,61890.06373,2040.367513,380.298716
YWHAG,63334.27839,28124.15664,41175.73499,56024.06587,23079.29328,12821.00932
TMEM132A,63014.41095,13708.00153,24351.72804,33120.11908,5167.977626,3499.476485
CD24,61706.95467,19808.46475,42849.41414,49062.2648,17491.62526,67156.43104
FASN,61531.0969,68254.9142,57830.00794,51841.11191,85231.87572,61831.56516
PSAP,61451.55403,37526.67328,40865.65636,50680.18861,45371.26551,23137.59469
ATP1A3,60281.01517,8103.82387,32370.29769,52822.02283,283.221905,1467.459084
SEZ6L,60250.11988,7491.132772,12727.64366,15017.785,117.6538686,161.9115234
CALM2,60178.56254,38047.81756,41109.94407,44923.2171,42628.05614,19429.37892
RTN4,59336.27652,22772.61217,37582.45068,52170.1083,13894.49935,12123.65155
CRABP2,59097.40671,22166.95472,23689.65303,20760.45724,12707.12605,2513.668699
MLLT11,58889.14943,16643.59594,46505.47581,62440.40351,6558.212353,2130.250831
MAGED1,57477.87668,29385.28559,42553.05015,49407.07221,35295.62309,10062.09409
MARCKSL1,57389.61974,32885.52957,56484.21022,59291.98088,29224.46661,25099.08911
L1CAM,55642.49986,10877.58493,26152.93055,54140.68228,812.4405741,1240.389769
DST,54888.10042,12191.12158,31366.32226,50444.58954,8604.471649,17588.1718
