"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21884","MRPL46",0.138572809,0.653025933,0.653025933,0.138572809,"MRPL46","Not Sig"
"21885","F8A2",-0.748788582,0.653032613,0.653032613,-0.748788582,"F8A2","Not Sig"
"21886","IL12A-AS1",-0.77216244,0.653151801,0.653151801,-0.77216244,"IL12A-AS1","Not Sig"
"21887","UPRT",0.066037391,0.653151801,0.653151801,0.066037391,"UPRT","Not Sig"
"21888","UBXN2A",0.073948463,0.653151801,0.653151801,0.073948463,"UBXN2A","Not Sig"
"21889","LOC105373021",0.284481105,0.653151801,0.653151801,0.284481105,"LOC105373021","Not Sig"
"21890","LINC00999",-0.667894566,0.653211312,0.653211312,-0.667894566,"LINC00999","Not Sig"
"21891","LINC02805",0.488998249,0.653279691,0.653279691,0.488998249,"LINC02805","Not Sig"
"21892","SDHAP2_2",0.70159105,0.653295736,0.653295736,0.70159105,"SDHAP2_2","Not Sig"
"21893","DLG3-AS1",-0.318623133,0.653466122,0.653466122,-0.318623133,"DLG3-AS1","Not Sig"
"21894","LIN7C",0.138124227,0.653480721,0.653480721,0.138124227,"LIN7C","Not Sig"
"21895","CA3-AS1",-0.564138904,0.653785211,0.653785211,-0.564138904,"CA3-AS1","Not Sig"
"21896","ATP5IF1_1",-0.511804228,0.653805544,0.653805544,-0.511804228,"ATP5IF1_1","Not Sig"
"21897","BCL9L",0.230721201,0.653805544,0.653805544,0.230721201,"BCL9L","Not Sig"
"21898","LOC105378674",0.755438735,0.653805544,0.653805544,0.755438735,"LOC105378674","Not Sig"
"21899","SMIM6",-0.813401813,0.653978539,0.653978539,-0.813401813,"SMIM6","Not Sig"
"21900","KLF6",-0.109127966,0.654148181,0.654148181,-0.109127966,"KLF6","Not Sig"
"21901","TCIM",0.795413947,0.654166619,0.654166619,0.795413947,"TCIM","Not Sig"
"21902","LOC105372649",0.679000927,0.654621258,0.654621258,0.679000927,"LOC105372649","Not Sig"
"21903","LOC441087",-0.655924896,0.655076075,0.655076075,-0.655924896,"LOC441087","Not Sig"
