"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8783","COA4",-0.750235122,0.000160958,0.000160958,-0.750235122,"COA4","Down"
"8784","ICE2",-0.681760287,0.000160958,0.000160958,-0.681760287,"ICE2","Down"
"8785","ZP3",-2.302417503,0.000161026,0.000161026,-2.302417503,"ZP3","Down"
"8786","LOC105379743",-4.48858801,0.000161368,0.000161368,-4.48858801,"LOC105379743","Down"
"8787","TSR2",0.61623286,0.00016186,0.00016186,0.61623286,"TSR2","Up"
"8788","ENPP4",0.684264031,0.00016186,0.00016186,0.684264031,"ENPP4","Up"
"8789","FAM118B",-0.479427204,0.000162225,0.000162225,-0.479427204,"FAM118B","Not Sig"
"8790","CIR1",0.497099296,0.000162374,0.000162374,0.497099296,"CIR1","Not Sig"
"8791","TAF12",-0.552382102,0.000162384,0.000162384,-0.552382102,"TAF12","Not Sig"
"8792","MPZL1",-0.466649792,0.000162691,0.000162691,-0.466649792,"MPZL1","Not Sig"
"8793","ZNF462",-0.860662196,0.000163037,0.000163037,-0.860662196,"ZNF462","Down"
"8794","TGFBR1",0.627834918,0.000163116,0.000163116,0.627834918,"TGFBR1","Up"
"8795","ACTN4",-1.828902507,0.000163579,0.000163579,-1.828902507,"ACTN4","Down"
"8796","ELP5",3.72076229,0.000164278,0.000164278,3.72076229,"ELP5","Up"
"8797","DAZAP1",-1.029438102,0.000164457,0.000164457,-1.029438102,"DAZAP1","Down"
"8798","NPAS2",1.221903365,0.000165461,0.000165461,1.221903365,"NPAS2","Up"
"8799","FAM227B",0.767012391,0.000165702,0.000165702,0.767012391,"FAM227B","Up"
"8800","ATP10B",-4.952307499,0.000165787,0.000165787,-4.952307499,"ATP10B","Down"
"8801","SNAP29",0.603604481,0.000165787,0.000165787,0.603604481,"SNAP29","Up"
"8802","MIR181A2HG",-4.064802139,0.000165846,0.000165846,-4.064802139,"MIR181A2HG","Down"
"8803","ZFAND2B",0.51879823,0.000166038,0.000166038,0.51879823,"ZFAND2B","Not Sig"
"8804","MED19",0.570154583,0.00016637,0.00016637,0.570154583,"MED19","Not Sig"
"8805","ACKR3",-2.994161452,0.000166394,0.000166394,-2.994161452,"ACKR3","Down"
"8806","SMYD4",-0.574451714,0.000166949,0.000166949,-0.574451714,"SMYD4","Not Sig"
"8807","TNKS2",-0.534097739,0.000167132,0.000167132,-0.534097739,"TNKS2","Not Sig"
"8808","LPIN3",-1.495417596,0.000167324,0.000167324,-1.495417596,"LPIN3","Down"
"8809","HCN3_1",2.996804517,0.000168633,0.000168633,2.996804517,"HCN3_1","Up"
"8810","NOL10",-0.577351745,0.000169146,0.000169146,-0.577351745,"NOL10","Not Sig"
"8811","CLEC4G",3.520186263,0.000169535,0.000169535,3.520186263,"CLEC4G","Up"
"8812","RBM25-AS1",1.26805863,0.000169736,0.000169736,1.26805863,"RBM25-AS1","Up"
"8813","GRIN2D",1.215804469,0.000170085,0.000170085,1.215804469,"GRIN2D","Up"
"8814","TEX11",-4.063008335,0.000170722,0.000170722,-4.063008335,"TEX11","Down"
"8815","ASB14",1.869210008,0.000170722,0.000170722,1.869210008,"ASB14","Up"
"8816","ZSWIM6",-0.546334071,0.000170788,0.000170788,-0.546334071,"ZSWIM6","Not Sig"
"8817","SSR4P1",1.129852788,0.000171038,0.000171038,1.129852788,"SSR4P1","Up"
"8818","CFAP73",-2.741094305,0.00017169,0.00017169,-2.741094305,"CFAP73","Down"
"8819","MIR4477B",1.530410288,0.000171766,0.000171766,1.530410288,"MIR4477B","Up"
"8820","CRIP3",-2.27487487,0.000172496,0.000172496,-2.27487487,"CRIP3","Down"
"8821","VPS4B",0.400146086,0.000172547,0.000172547,0.400146086,"VPS4B","Not Sig"
"8822","NFIX",-2.920497598,0.000173759,0.000173759,-2.920497598,"NFIX","Down"
"8823","RPL11",-0.685071014,0.000173977,0.000173977,-0.685071014,"RPL11","Down"
"8824","FOXO3B",-0.652774893,0.00017398,0.00017398,-0.652774893,"FOXO3B","Down"
"8825","APBA1_1",2.508892833,0.000174105,0.000174105,2.508892833,"APBA1_1","Up"
"8826","ZNF775",0.936120668,0.000174118,0.000174118,0.936120668,"ZNF775","Up"
"8827","LOC105373283",1.903542144,0.000174283,0.000174283,1.903542144,"LOC105373283","Up"
"8828","GCNA",1.506086465,0.000174533,0.000174533,1.506086465,"GCNA","Up"
"8829","RABGAP1",0.481660551,0.000174763,0.000174763,0.481660551,"RABGAP1","Not Sig"
"8830","LOC105371217",4.861844873,0.000174865,0.000174865,4.861844873,"LOC105371217","Up"
"8831","POLB",0.561631187,0.000175095,0.000175095,0.561631187,"POLB","Not Sig"
"8832","FDFT1_1",-1.345899054,0.000175366,0.000175366,-1.345899054,"FDFT1_1","Down"
"8833","ZRANB2",-0.686214631,0.000175522,0.000175522,-0.686214631,"ZRANB2","Down"
"8834","LOC107984658",0.755866663,0.000175522,0.000175522,0.755866663,"LOC107984658","Up"
"8835","LOC105374140",2.055041293,0.000175664,0.000175664,2.055041293,"LOC105374140","Up"
"8836","LOC105375894",4.336878828,0.000176038,0.000176038,4.336878828,"LOC105375894","Up"
"8837","CLK4",0.822780197,0.00017608,0.00017608,0.822780197,"CLK4","Up"
"8838","KCNS1",-1.263946934,0.000176126,0.000176126,-1.263946934,"KCNS1","Down"
"8839","VIL1",-3.179047074,0.000176187,0.000176187,-3.179047074,"VIL1","Down"
"8840","TBXAS1",-1.878363248,0.000176558,0.000176558,-1.878363248,"TBXAS1","Down"
"8841","FSTL4",1.564328226,0.00017668,0.00017668,1.564328226,"FSTL4","Up"
"8842","GPRC6A",3.86719622,0.000176967,0.000176967,3.86719622,"GPRC6A","Up"
"8843","CD109",-1.489628987,0.000177646,0.000177646,-1.489628987,"CD109","Down"
"8844","HSPA4",-0.310541936,0.000178305,0.000178305,-0.310541936,"HSPA4","Not Sig"
"8845","MMP23A",-3.459902343,0.000178562,0.000178562,-3.459902343,"MMP23A","Down"
"8846","LOC401127",1.550810823,0.00017872,0.00017872,1.550810823,"LOC401127","Up"
"8847","HIF1A",-0.441667408,0.000178849,0.000178849,-0.441667408,"HIF1A","Not Sig"
"8848","ZBTB2",-0.727473403,0.000179107,0.000179107,-0.727473403,"ZBTB2","Down"
"8849","PCDHGB1",-1.796980228,0.000180067,0.000180067,-1.796980228,"PCDHGB1","Down"
"8850","CCNT2",0.486166194,0.000180244,0.000180244,0.486166194,"CCNT2","Not Sig"
"8851","ZNF618",0.574305588,0.000180853,0.000180853,0.574305588,"ZNF618","Not Sig"
"8852","TMEM190",1.804018555,0.000180895,0.000180895,1.804018555,"TMEM190","Up"
"8853","TGFBRAP1",-0.395879275,0.000180937,0.000180937,-0.395879275,"TGFBRAP1","Not Sig"
"8854","B3GALT5-AS1",-2.152467271,0.000181302,0.000181302,-2.152467271,"B3GALT5-AS1","Down"
"8855","ZNF558",-0.61599415,0.000181302,0.000181302,-0.61599415,"ZNF558","Down"
"8856","CCDC169",-1.409204509,0.000181518,0.000181518,-1.409204509,"CCDC169","Down"
"8857","MEN1",-0.668559398,0.000181583,0.000181583,-0.668559398,"MEN1","Down"
"8858","PEX11A",-1.05475228,0.000182846,0.000182846,-1.05475228,"PEX11A","Down"
"8859","PIAS1",0.742792042,0.000183253,0.000183253,0.742792042,"PIAS1","Up"
"8860","KMT2E",0.658658673,0.000183262,0.000183262,0.658658673,"KMT2E","Up"
"8861","CXXC5",0.751008963,0.000183793,0.000183793,0.751008963,"CXXC5","Up"
"8862","C11orf68",0.655755546,0.000183974,0.000183974,0.655755546,"C11orf68","Up"
"8863","DHRS7",0.549189247,0.000184272,0.000184272,0.549189247,"DHRS7","Not Sig"
"8864","RGPD4",-0.917481452,0.000184591,0.000184591,-0.917481452,"RGPD4","Down"
"8865","HARS1",0.682207922,0.00018518,0.00018518,0.682207922,"HARS1","Up"
"8866","KDM4A",0.679549454,0.00018558,0.00018558,0.679549454,"KDM4A","Up"
"8867","EML1",0.586377617,0.000185771,0.000185771,0.586377617,"EML1","Up"
"8868","CCDC183",1.299816488,0.000185826,0.000185826,1.299816488,"CCDC183","Up"
